step,herd prey,solo prey
888,132,112
889,132,112
890,132,112
891,132,112
892,132,112
893,132,112
894,132,112
895,132,112
896,132,112
897,132,112
898,132,112
899,132,112
900,132,112
901,132,112
902,132,112
903,132,112
904,132,112
905,132,112
906,132,112
907,132,112
908,132,112
909,132,112
910,132,112
911,132,112
912,132,112
913,132,112
914,132,111
915,132,111
916,132,111
917,132,111
918,132,111
919,132,111
920,132,111
921,132,111
922,132,111
923,132,111
924,132,111
925,132,111
926,132,111
927,132,111
928,132,111
929,132,111
930,132,111
931,132,111
932,132,111
933,132,111
934,132,111
935,132,111
936,132,111
937,132,111
938,132,111
939,132,111
940,132,111
941,132,111
942,132,111
943,132,111
944,132,111
945,132,111
946,132,111
947,132,111
948,132,111
949,132,111
950,132,111
951,132,111
952,132,111
953,132,111
954,132,111
955,132,111
956,132,111
957,131,111
958,131,111
959,131,111
960,131,111
961,131,111
962,131,110
963,131,110
964,131,110
965,131,110
966,131,110
967,131,110
968,131,110
969,131,110
970,131,110
971,131,110
972,131,110
973,131,110
974,131,110
975,131,110
976,131,110
977,131,110
978,131,110
979,131,110
980,131,110
981,131,110
982,131,110
983,130,110
984,130,110
985,130,110
986,130,110
987,130,110
988,130,110
989,130,110
990,130,110
991,130,110
992,130,110
993,130,110
994,130,110
995,130,110
996,130,110
997,130,110
998,130,110
999,130,110
1000,130,110
1001,130,110
1002,130,110
1003,130,110
1004,130,110
1005,130,110
1006,130,110
1007,130,110
1008,130,110
1009,130,110
1010,130,110
1011,130,110
1012,129,110
1013,129,110
1014,129,110
1015,129,110
1016,129,110
1017,129,110
1018,129,110
1019,129,110
1020,129,110
1021,129,110
1022,129,110
1023,129,110
1024,129,110
1025,129,110
1026,129,110
1027,129,110
1028,129,110
1029,129,110
1030,129,110
1031,129,110
1032,129,110
1033,129,110
1034,129,110
1035,129,110
1036,129,110
1037,129,110
1038,129,110
1039,129,110
1040,129,110
1041,129,110
1042,129,110
1043,129,110
1044,129,110
1045,129,110
1046,129,110
1047,129,110
1048,129,110
1049,129,110
1050,129,110
1051,129,110
1052,129,110
1053,129,110
1054,129,110
1055,129,110
1056,129,110
1057,129,110
1058,129,110
1059,129,110
1060,129,110
1061,129,110
1062,129,110
1063,129,110
1064,129,110
1065,129,110
1066,129,110
1067,129,110
1068,129,110
1069,129,110
1070,129,110
1071,129,110
1072,129,110
1073,129,110
1074,129,110
1075,129,110
1076,129,110
1077,129,110
1078,129,110
1079,129,110
1080,129,110
1081,129,109
1082,129,109
1083,129,109
1084,129,109
1085,129,109
1086,129,109
1087,129,109
1088,129,109
1089,129,109
1090,129,109
1091,129,109
1092,129,109
1093,129,109
1094,129,109
1095,129,109
1096,129,109
1097,129,109
1098,129,109
1099,128,109
1100,128,109
1101,127,109
1102,127,109
1103,127,109
1104,127,109
1105,127,109
1106,127,109
1107,127,109
1108,127,109
1109,127,109
1110,127,109
1111,127,109
1112,127,109
1113,127,109
1114,127,109
1115,127,109
1116,127,109
1117,127,109
1118,127,109
1119,127,109
1120,127,109
1121,127,109
1122,127,109
1123,127,109
1124,127,109
1125,127,109
1126,127,109
1127,127,109
1128,127,109
1129,127,109
1130,127,109
1131,127,109
1132,127,109
1133,127,109
1134,127,109
1135,127,108
1136,127,108
1137,127,108
1138,127,108
1139,127,108
1140,127,108
1141,127,108
1142,127,108
1143,127,108
1144,127,108
1145,127,108
1146,126,108
1147,126,108
1148,126,108
1149,126,108
1150,126,108
1151,126,108
1152,126,108
1153,126,108
1154,126,108
1155,126,108
1156,126,108
1157,126,108
1158,126,108
1159,126,108
1160,126,108
1161,126,108
1162,126,108
1163,126,108
1164,126,108
1165,126,108
1166,126,108
1167,126,108
1168,126,108
1169,126,108
1170,126,108
1171,126,108
1172,126,108
1173,126,108
1174,126,108
1175,126,108
1176,126,108
1177,126,108
1178,126,108
1179,126,108
1180,126,108
1181,126,108
1182,126,108
1183,126,108
1184,126,108
1185,126,108
1186,126,108
1187,126,108
1188,126,108
1189,126,108
1190,126,108
1191,126,108
1192,126,108
1193,126,108
1194,126,108
1195,126,108
1196,126,108
1197,126,108
1198,126,108
1199,126,108
1200,126,108
1201,126,108
1202,126,108
1203,126,108
1204,126,108
1205,126,108
1206,126,108
1207,126,108
1208,126,108
1209,126,108
1210,126,108
1211,126,108
1212,126,108
1213,126,108
1214,126,108
1215,126,108
1216,126,108
1217,126,108
1218,126,108
1219,126,108
1220,126,108
1221,126,108
1222,126,108
1223,126,108
1224,126,108
1225,126,108
1226,126,108
1227,126,108
1228,126,108
1229,126,108
1230,126,108
1231,126,108
1232,126,108
1233,126,107
1234,126,107
1235,126,107
1236,126,107
1237,126,107
1238,126,107
1239,126,107
1240,126,107
1241,126,107
1242,126,107
1243,126,107
1244,126,107
1245,126,107
1246,126,107
1247,126,107
1248,126,107
1249,126,107
1250,126,107
1251,126,107
1252,126,107
1253,126,107
1254,125,107
1255,125,107
1256,125,107
1257,125,107
1258,125,107
1259,125,107
1260,125,107
1261,125,107
1262,125,107
1263,125,107
1264,125,107
1265,125,107
1266,125,107
1267,125,107
1268,125,107
1269,125,107
1270,125,107
1271,125,107
1272,125,107
1273,125,107
1274,125,107
1275,125,107
1276,125,107
1277,125,107
1278,125,107
1279,125,107
1280,125,107
1281,125,107
1282,125,107
1283,125,107
1284,125,107
1285,125,107
1286,125,107
1287,125,107
1288,125,107
1289,125,107
1290,125,107
1291,125,107
1292,125,107
1293,125,107
1294,125,107
1295,125,107
1296,125,107
1297,125,107
1298,125,107
1299,125,107
1300,125,107
1301,125,107
1302,125,107
1303,125,107
1304,125,107
1305,125,107
1306,125,107
1307,125,107
1308,125,107
1309,125,107
1310,125,107
1311,125,107
1312,125,107
1313,125,107
1314,125,107
1315,125,107
1316,125,107
1317,125,107
1318,125,107
1319,125,107
1320,125,107
1321,125,107
1322,125,107
1323,125,107
1324,125,107
1325,125,107
1326,125,107
1327,125,107
1328,125,107
1329,125,107
1330,125,107
1331,125,107
1332,125,107
1333,125,107
1334,125,107
1335,125,107
1336,125,107
1337,125,107
1338,125,107
1339,125,107
1340,125,107
1341,125,107
1342,125,107
1343,125,107
1344,125,107
1345,125,107
1346,125,107
1347,125,107
1348,125,107
1349,125,107
1350,125,107
1351,125,107
1352,125,107
1353,125,107
1354,125,106
1355,125,106
1356,125,106
1357,125,106
1358,125,105
1359,125,105
1360,125,105
1361,125,105
1362,125,105
1363,125,105
1364,125,105
1365,125,105
1366,125,104
1367,125,104
1368,125,104
1369,125,104
1370,125,104
1371,125,104
1372,125,104
1373,125,104
1374,125,104
1375,125,104
1376,125,104
1377,125,104
1378,125,104
1379,125,104
1380,125,104
1381,125,104
1382,125,104
1383,125,104
1384,125,104
1385,125,104
1386,125,104
1387,125,104
1388,125,104
1389,125,104
1390,125,104
1391,125,104
1392,125,104
1393,125,104
1394,125,104
1395,125,104
1396,125,104
1397,125,104
1398,125,103
1399,125,103
1400,125,103
1401,125,103
1402,125,103
1403,125,103
1404,125,103
1405,125,103
1406,125,103
1407,125,103
1408,125,103
1409,125,103
1410,125,103
1411,125,103
1412,125,103
1413,125,103
1414,125,103
1415,125,103
1416,125,103
1417,125,103
1418,125,103
1419,125,103
1420,125,103
1421,125,103
1422,125,103
1423,125,103
1424,124,103
1425,124,103
1426,124,103
1427,124,102
1428,124,102
1429,124,102
1430,124,102
1431,124,102
1432,124,102
1433,123,102
1434,123,102
1435,123,102
1436,123,102
1437,123,102
1438,123,102
1439,123,102
1440,123,102
1441,123,102
1442,123,102
1443,123,102
1444,123,102
1445,123,102
1446,123,102
1447,123,102
1448,123,102
1449,123,102
1450,123,102
1451,123,102
1452,123,102
1453,123,102
1454,123,102
1455,123,102
1456,123,102
1457,123,102
1458,123,102
1459,123,102
1460,123,102
1461,123,102
1462,123,102
1463,123,102
1464,123,102
1465,123,102
1466,123,102
1467,123,102
1468,123,102
1469,123,102
1470,123,102
1471,123,102
1472,123,102
1473,123,102
1474,123,102
1475,123,102
1476,123,102
1477,123,102
